target_id,prediction,probabilidade
drugbank_target|P19113,0,0.4542263795628076
drugbank_target|P35228,0,0.1520269933228593
drugbank_target|P37059,0,0.33174445335579394
drugbank_target|P06737,0,0.32699341732059656
drugbank_target|P50213,0,0.4207821956033086
drugbank_target|Q9P0X4,0,8.997560299390894e-06
drugbank_target|P30542,0,0.16764441052493165
drugbank_target|P00519,0,0.29096889737765574
drugbank_target|P23219,0,0.33877424158201613
drugbank_target|P12461,0,0.4446875270625871
drugbank_target|P35916,0,0.043066884057251745
drugbank_target|P02452,0,0.10101117213754711
drugbank_target|Q9H4B7,0,0.4517962481088291
drugbank_target|P17948,0,0.06404200278642971
drugbank_target|Q9UPY5,0,0.20149691146286428
drugbank_target|P06213,0,0.03480896820561317
drugbank_target|P04049,1,0.5816644094409826
drugbank_target|P24530,0,0.3426106306003952
drugbank_target|P20309,0,0.47089263106293633
drugbank_target|P00734,1,0.5031955919224056
drugbank_target|P14780,0,0.37304284698667695
drugbank_target|P21554,0,0.29782370408576647
drugbank_target|P11836,0,0.4492223479057153
drugbank_target|P07195,0,0.43585110276623223
drugbank_target|P24752,0,0.4877714924318535
drugbank_target|Q07869,0,0.45461853342407804
drugbank_target|P10912,0,0.4878657105704326
drugbank_target|P00492,0,0.4401316854186959
drugbank_target|P28702,1,0.694170241697771
drugbank_target|P31358,0,0.07395382921079127
drugbank_target|Q13639,0,0.22607868663317565
drugbank_target|P42357,0,0.4172187695907135
drugbank_target|P14618,1,0.5479041271245387
drugbank_target|Q12809,0,0.1505475222708528
drugbank_target|Q969P6,1,0.6741705764533388
drugbank_target|P11229,0,0.4907921454361464
drugbank_target|P34972,0,0.27140072040510255
drugbank_target|P35610,0,0.19693368087787147
drugbank_target|P13688,1,0.5084592750106864
drugbank_target|P06746,1,0.6781120307406842
drugbank_target|P06864,0,0.1864372451447962
drugbank_target|Q05940,0,0.18193518149088822
drugbank_target|P03372,1,0.5411636615142977
drugbank_target|P08700,0,0.4887004234345911
drugbank_target|P69905,1,0.5920436885540031
drugbank_target|P80365,0,0.4956405614819712
drugbank_target|P10275,0,0.3695566715663799
drugbank_target|P22888,0,0.3040358785743713
drugbank_target|P49419,0,0.45878454461391416
drugbank_target|Q8WY07,0,0.14223217520621964
drugbank_target|P35498,0,5.430191869553139e-05
drugbank_target|P07437,0,0.4753826406822319
drugbank_target|P13631,1,0.5827981347939465
drugbank_target|P36888,0,0.18156950976354977
drugbank_target|P51649,0,0.44627157852771415
drugbank_target|Q9NYK1,0,0.17269682535068062
drugbank_target|Q99720,0,0.21495585967730244
drugbank_target|Q02218,0,0.20540189006936888
drugbank_target|P15692,1,0.7763236013406434
drugbank_target|P37288,0,0.3840521952779247
drugbank_target|P49916,0,0.3502878235759781
drugbank_target|P08588,0,0.40199175886129895
drugbank_target|O76074,0,0.3422486087973135
drugbank_target|P20273,0,0.383994286081598
drugbank_target|P48637,0,0.47829668187024665
drugbank_target|P9WGY7,0,0.0751223494412477
drugbank_target|P45381,0,0.44077764914106693
drugbank_target|P14061,0,0.37416674429326063
drugbank_target|Q14524,0,6.173693817550471e-05
drugbank_target|P18858,0,0.4344255918732491
drugbank_target|P30968,0,0.2770612145591792
drugbank_target|P09619,0,0.15639504819446295
drugbank_target|P10826,1,0.6278620011872931
drugbank_target|P08185,0,0.323737496158168
drugbank_target|P37231,0,0.46094110155548196
drugbank_target|P00742,1,0.5494993153012299
drugbank_target|P16083,0,0.34224125594367905
drugbank_target|P55157,0,0.34575683009636976
drugbank_target|P10613,0,0.3666930726686906
drugbank_target|Q15758,0,0.1977064618089519
drugbank_target|P20061,0,0.44879814118068106
drugbank_target|P06858,1,0.5059062596634138
drugbank_target|P10109,0,0.43929557741147834
drugbank_target|P10415,0,0.3473753777774774
drugbank_target|P08912,1,0.5024275546255069
drugbank_target|P09917,0,0.35065246465438993
drugbank_target|P00491,0,0.4225401667557923
drugbank_target|P14679,0,0.4158415606161973
drugbank_target|P80404,0,0.48811201705771395
drugbank_target|Q9Y478,1,0.5336354882385548
drugbank_target|O76054,1,0.5179195491932204
drugbank_target|P35354,0,0.39978528193606105
drugbank_target|Q04771,0,0.45262295749516784
drugbank_target|P00915,1,0.5476593995389257
drugbank_target|P14207,0,0.47027605135386363
drugbank_target|P07766,0,0.48690564381330265
drugbank_target|P01008,0,0.44913854226606303
drugbank_target|Q99624,0,0.18583743315851564
drugbank_target|P08913,0,0.46965560094562253
drugbank_target|Q5T1J1,0,0.26818078541531315
drugbank_target|P08908,0,0.40450077656097444
drugbank_target|P34897,1,0.5441466181279342
drugbank_target|Q02641,1,0.6223036223830898
drugbank_target|P04293,0,0.07553178714064611
drugbank_target|P46098,0,0.3008197568949584
drugbank_target|P02753,0,0.4194539375766632
drugbank_target|P10828,1,0.5366948509849797
drugbank_target|P47872,0,0.29322582423357485
drugbank_target|Q8IVH4,1,0.5664305359139863
drugbank_target|P00918,1,0.5778927004680892
drugbank_target|P04818,0,0.46856984942144264
drugbank_target|P23921,0,0.37134663928749184
drugbank_target|P08620,0,0.4201289815712611
drugbank_target|P49286,0,0.2240382970241273
drugbank_target|P28845,0,0.341882284241343
drugbank_target|P00374,0,0.492550022634448
drugbank_target|P08709,0,0.49345150909950136
