target_id,prediction,probabilidade
drugbank_target|P19113,0,0.06
drugbank_target|P35228,1,0.7
drugbank_target|P37059,1,0.64
drugbank_target|P06737,0,0.07
drugbank_target|P50213,1,0.84
drugbank_target|Q9P0X4,0,0.03
drugbank_target|P30542,0,0.01
drugbank_target|P00519,1,0.87
drugbank_target|P23219,1,0.5753258596920859
drugbank_target|P12461,1,0.7082735115560763
drugbank_target|P35916,1,0.88
drugbank_target|P02452,0,0.07
drugbank_target|Q9H4B7,0,0.15
drugbank_target|P17948,1,0.78
drugbank_target|Q9UPY5,0,0.09
drugbank_target|P06213,1,0.8154504630928991
drugbank_target|P04049,1,0.76
drugbank_target|P24530,0,0.01
drugbank_target|P20309,0,0.03
drugbank_target|P00734,1,0.7582735115560763
drugbank_target|P14780,1,0.728778723724855
drugbank_target|P21554,0,0.0
drugbank_target|P11836,0,0.15
drugbank_target|P07195,1,0.78
drugbank_target|P24752,0,0.08
drugbank_target|Q07869,0,0.14
drugbank_target|P10912,0,0.11
drugbank_target|P00492,0,0.1
drugbank_target|P28702,0,0.14
drugbank_target|P31358,0,0.07
drugbank_target|Q13639,0,0.0
drugbank_target|P42357,0,0.12
drugbank_target|P14618,1,0.815834127902875
drugbank_target|Q12809,0,0.46242702967676486
drugbank_target|Q969P6,0,0.25
drugbank_target|P11229,0,0.0
drugbank_target|P34972,0,0.058273511556076255
drugbank_target|P35610,0,0.13
drugbank_target|P13688,0,0.2
drugbank_target|P06746,0,0.15
drugbank_target|P06864,0,0.07
drugbank_target|Q05940,1,0.66
drugbank_target|P03372,1,0.5701804277070355
drugbank_target|P08700,1,0.7
drugbank_target|P69905,1,0.75
drugbank_target|P80365,1,0.64
drugbank_target|P10275,0,0.09
drugbank_target|P22888,0,0.09545046309289924
drugbank_target|P49419,1,0.77
drugbank_target|Q8WY07,0,0.08
drugbank_target|P35498,0,0.0
drugbank_target|P07437,1,0.76
drugbank_target|P13631,0,0.11
drugbank_target|P36888,1,0.68
drugbank_target|P51649,1,0.68
drugbank_target|Q9NYK1,0,0.0
drugbank_target|Q99720,0,0.01
drugbank_target|Q02218,1,0.73
drugbank_target|P15692,1,0.78
drugbank_target|P37288,0,0.0
drugbank_target|P49916,0,0.14705540417802
drugbank_target|P08588,0,0.0
drugbank_target|O76074,0,0.3716515507391218
drugbank_target|P20273,0,0.15
drugbank_target|P48637,1,0.76
drugbank_target|P9WGY7,0,0.11
drugbank_target|P45381,1,0.77705540417802
drugbank_target|P14061,1,0.71
drugbank_target|Q14524,0,0.0
drugbank_target|P18858,0,0.16
drugbank_target|P30968,0,0.05
drugbank_target|P09619,1,0.67
drugbank_target|P10826,0,0.04
drugbank_target|P08185,1,0.72
drugbank_target|P37231,0,0.07
drugbank_target|P00742,0,0.15614994853930805
drugbank_target|P16083,1,0.73
drugbank_target|P55157,0,0.08444037955870584
drugbank_target|P10613,1,0.606149948539308
drugbank_target|Q15758,0,0.05
drugbank_target|P20061,0,0.13
drugbank_target|P06858,0,0.11
drugbank_target|P10109,0,0.09
drugbank_target|P10415,0,0.06
drugbank_target|P08912,0,0.02
drugbank_target|P09917,1,0.74
drugbank_target|P00491,0,0.1
drugbank_target|P14679,1,0.73
drugbank_target|P80404,1,0.78705540417802
drugbank_target|Q9Y478,1,0.92
drugbank_target|O76054,0,0.08
drugbank_target|P35354,0,0.46917387553334644
drugbank_target|Q04771,1,0.76
drugbank_target|P00915,0,0.0
drugbank_target|P14207,0,0.08
drugbank_target|P07766,0,0.0
drugbank_target|P01008,1,0.7854504630928993
drugbank_target|Q99624,0,0.0
drugbank_target|P08913,0,0.0
drugbank_target|Q5T1J1,0,0.13
drugbank_target|P08908,0,0.01
drugbank_target|P34897,1,0.8525058672709193
drugbank_target|Q02641,0,0.02
drugbank_target|P04293,0,0.01
drugbank_target|P46098,0,0.0
drugbank_target|P02753,0,0.12
drugbank_target|P10828,0,0.09
drugbank_target|P47872,0,0.01
drugbank_target|Q8IVH4,0,0.07
drugbank_target|P00918,1,0.536079835801311
drugbank_target|P04818,1,0.77
drugbank_target|P23921,0,0.13705540417801998
drugbank_target|P08620,0,0.08905519612985953
drugbank_target|P49286,0,0.0
drugbank_target|P28845,1,0.71
drugbank_target|P00374,1,0.78
drugbank_target|P08709,0,0.13782328454411172
drugbank_target|P02766,1,0.74
drugbank_target|Q9UDX4,0,0.11444037955870584
drugbank_target|Q9BXJ7,0,0.05
drugbank_target|P18825,0,0.0
drugbank_target|P05093,1,0.84
drugbank_target|P0DMS8,1,0.5537555209702083
drugbank_target|Q9UM73,1,0.89
drugbank_target|Q05586,0,0.01
drugbank_target|P43700,1,0.86
drugbank_target|P35968,1,0.73
drugbank_target|Q06203,0,0.1234801946500094
drugbank_target|P47869,0,0.0
drugbank_target|Q02127,1,0.87
drugbank_target|P25103,0,0.01
drugbank_target|P48551,0,0.01
drugbank_target|P41595,0,0.01
drugbank_target|O15399,0,0.06
drugbank_target|P32238,0,0.0
drugbank_target|P11926,0,0.07
drugbank_target|P08173,0,0.0
drugbank_target|Q9GZZ6,0,0.01
drugbank_target|P19793,0,0.06
drugbank_target|O75311,0,0.04
drugbank_target|O15554,0,0.02
drugbank_target|Q13224,0,0.01
drugbank_target|P41143,0,0.018273511556076257
drugbank_target|P00338,1,0.9266020082689667
drugbank_target|P22303,1,0.69
drugbank_target|P31749,1,0.72
drugbank_target|P43702,1,0.76705540417802
drugbank_target|Q13936,0,0.0
drugbank_target|P23415,0,0.43786731196047013
drugbank_target|P10398,0,0.23360242729017253
drugbank_target|P42684,1,0.7482735115560764
drugbank_target|Q14432,0,0.03
drugbank_target|Q96Q40,1,0.733152200278208
drugbank_target|P35367,0,0.01
drugbank_target|P29466,1,0.71
drugbank_target|P28223,0,0.0
drugbank_target|P30872,0,0.03
drugbank_target|P10721,1,0.76
drugbank_target|P31644,0,0.0
drugbank_target|Q96P88,0,0.057055404178019985
drugbank_target|P48169,0,0.03
drugbank_target|Q03154,1,0.7244403795587059
drugbank_target|O43497,0,0.01
drugbank_target|P23975,0,0.05
